Site,Horizon,depth.upper,Gravimetric.water.content.percent,pH,EC,pH.CaCl2,Percent.Fine,Percent.Coarse,Percent.N,Percent.C,S.bd,depth1,Horizon.bd,bulk.density,Clay,Silt,Sand,CEC,Al,Ca,K,Mg,Na
1,O,0,177.7469478,5.13,191.5,5.13,38.57,61.43,0.399,30.4,1,0,O,0.391,2.491,1.245,96.264,31.1,0.0,22.9,0.4,6.8,1.4
1,O,10,177.7469478,5.13,191.5,5.13,38.57,61.43,0.399,30.4,1,10,O,0.391,2.491,1.245,96.264,31.1,0.0,22.9,0.4,6.8,1.4
1,A1,25,105.5464256,5.39,250.8,5.39,51.24,48.76,0.232,14.2,1,20,A1,1.643,3.764,0.502,95.734,28.4,0.0,23.5,0.3,4.8,1.3
1,2A1,50,10.63218391,6.47,106.4,6.47,94.54,5.46,0.08,1.01,1,30,2A2,1.490,1.501,1.751,96.749,4.4,0.0,4.1,0.1,0.8,0.2
1,Bhs,58,6.264599703,6.61,61.73,6.61,91.87,8.13,0.052,0.723,1,60,Bhs,1.621,1.508,2.262,96.231,3.8,0.0,2.7,0.1,0.5,0.2
1,C,120,4.203079484,6.63,80.51,6.63,98.55,1.45,0.023,0.156,2,0,A1,0.827,0.000,7.142,92.858,1.1,0.0,0.6,0.0,0.1,0.1
1,B2,180,5.100755668,6.87,80.68,6.87,97.94,2.06,0.022,0.132,2,10,A1,0.827,1.766,3.532,94.702,0.8,0.0,0.6,0.0,0.1,0.2
1,C,220,5.775333192,6.73,79.13,6.73,85.50,14.50,0.039,0.379,2,20,A,1.385,1.255,2.760,95.985,1.5,0.0,2.1,0.0,0.3,0.3
1,C,260,3.106356717,6.73,50.31,6.73,98.96,1.04,0.028,0.113,2,30,A,1.387,2.058,3.087,94.854,0.9,0.0,0.5,0.0,0.1,0.1
1,C,300,2.98169854,6.66,50.05,6.66,98.90,1.10,0.027,0.105,2,60,A,1.442,3.255,0.501,96.244,0.9,0.1,0.5,0.0,0.1,0.1
2,A1,0,32.40667196,7.28,269.7,7.28,76.20,23.80,0.121,2.35,,,,,2.003,1.001,96.996,13.5,0.0,10.0,0.3,2.6,0.4
2,A1,25,32.40667196,7.28,269.7,7.28,76.20,23.80,0.121,2.35,,,,,2.003,1.001,96.996,13.5,0.0,10.0,0.3,2.6,0.4
2,A,50,8.528138528,7.28,119.2,7.28,93.18,6.82,0.074,1.53,,,,,3.512,2.007,94.481,5.4,0.0,3.5,0.1,0.9,0.1
2,A,75,11.12591606,7.23,134.8,7.23,91.75,8.25,0.067,1.24,,,,,2.010,1.256,96.734,5.5,0.0,4.5,0.0,0.9,0.3
2,A,100,22.59956022,6.78,297.8,6.78,67.61,32.39,0.093,3.73,,,,,0.750,2.001,97.249,8.0,0.0,6.3,0.0,1.5,1.0
2,A,120,9.887936717,7.33,156.5,7.33,87.07,12.93,0.057,1.17,,,,,4.023,2.766,93.212,5.0,0.0,3.7,0.1,0.8,0.4
2,C,180,4.360525767,6.71,94.44,6.71,99.23,0.77,0.01,0.096,,,,,4.294,3.536,92.170,0.6,0.1,0.4,0.0,0.1,0.2
2,C,240,4.86169321,6.75,73.15,6.75,99.08,0.92,0.014,0.078,,,,,4.469,8.659,86.872,0.6,0.1,0.4,0.0,0.2,0.3
2,C,300,4.294350636,6.8,94.7,6.8,98.91,1.09,0.019,0.061,,,,,6.384,8.208,85.408,0.6,0.1,0.3,0.0,0.1,0.2
